Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M1] Les Roches Accreditation - Open Information Sessions,08.10.2019,16:00,08.10.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 PGDa PGDb,LT 1
[BBA 4 - M1] Foreign Languages,09.10.2019,08:10,09.10.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,09.10.2019,09:05,09.10.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,09.10.2019,10:15,09.10.2019,12:00,J. Van der Blom BBA 4 - M1,[206]
[BBA 4 - M1] Lunch,09.10.2019,12:05,09.10.2019,13:50,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,09.10.2019,13:55,09.10.2019,14:45,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Foreign Languages,09.10.2019,14:50,09.10.2019,15:40,E. Crettenand B. Crettol S. Dunn E. Ebiner N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,EW 2 205 EW 1 304 307
[BBA 4 - M1] Rooms Inventory and Control Management,09.10.2019,16:00,09.10.2019,17:45,J. Del Sol BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Hospitality Facilities Management,10.10.2019,08:10,10.10.2019,09:55,P. Garcia BBA 4 - M1,[206]
[BBA 4 - M1] Foreign Languages,10.10.2019,10:15,10.10.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Foreign Languages,10.10.2019,11:10,10.10.2019,12:00,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,10.10.2019,12:05,10.10.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,10.10.2019,13:00,10.10.2019,13:50,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Foreign Languages,10.10.2019,13:55,10.10.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304 409
[BBA 4 - M1] Integrated Project ,10.10.2019,14:50,10.10.2019,17:45,J. Del Sol I. Francis J. Van der Blom BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
