Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 6 - N4] Modellng for Management,02.10.2019,14:50,02.10.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,03.10.2019,08:10,03.10.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,03.10.2019,09:05,03.10.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,03.10.2019,10:15,03.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,03.10.2019,11:10,03.10.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,03.10.2019,12:05,03.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,03.10.2019,13:55,03.10.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,03.10.2019,14:50,03.10.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Modellng for Management,04.10.2019,11:10,04.10.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,04.10.2019,12:05,04.10.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,04.10.2019,13:00,04.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,04.10.2019,13:55,04.10.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,04.10.2019,16:00,04.10.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Lunch,07.10.2019,12:05,07.10.2019,12:55,BBA 6 - N4
[BBA 6 - N4] Preparation for Career Day,07.10.2019,13:00,07.10.2019,13:50,BBA 6 - N4 CDIP 1,[NW2.1]
[BBA 6 - N4] Revenue and Pricing Management,07.10.2019,13:55,07.10.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,07.10.2019,16:00,07.10.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,08.10.2019,08:10,08.10.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,08.10.2019,09:05,08.10.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,08.10.2019,10:15,08.10.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,08.10.2019,11:10,08.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,08.10.2019,13:55,08.10.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] Les Roches Accreditation - Open Information Sessions,08.10.2019,16:00,08.10.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 PGDa PGDb,LT 1
[BBA 6 - N4] General Education,09.10.2019,08:10,09.10.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,09.10.2019,09:05,09.10.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,09.10.2019,11:10,09.10.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,09.10.2019,12:05,09.10.2019,12:55,E. Wong BBA 6 - N4,[NW1.2]
[BBA 6 - N4] International Strategic Marketing,09.10.2019,13:00,09.10.2019,14:45,J. Di Donna BBA 6 - N4,[NW2.2]
[BBA 6 - N4] Modellng for Management,09.10.2019,14:50,09.10.2019,16:50,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] General Education,10.10.2019,08:10,10.10.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,10.10.2019,09:05,10.10.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,10.10.2019,10:15,10.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,10.10.2019,11:10,10.10.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,10.10.2019,12:05,10.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,10.10.2019,13:55,10.10.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,10.10.2019,14:50,10.10.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Modellng for Management,11.10.2019,11:10,11.10.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,11.10.2019,12:05,11.10.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,11.10.2019,13:00,11.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,11.10.2019,13:55,11.10.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW1.1]
[BBA 6 - N4] Revenue and Pricing Management,11.10.2019,16:00,11.10.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,14.10.2019,12:05,14.10.2019,13:50,BBA 6 - N3 BBA 6 - N4 S. McMath,[309]
[BBA 6 - N4] Revenue and Pricing Management,14.10.2019,13:55,14.10.2019,15:40,R. Campione BBA 6 - N4,[205]
[BBA 6 - N4] Career Day Discussion Panel - Sign up on Simplicity,14.10.2019,16:00,14.10.2019,17:45,BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship MBA 1 MBA1-2 MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 PGDa PGDb CDIP 1
[BBA 6 - N4] Career Day,15.10.2019,08:10,15.10.2019,17:45,BBA 7 - G2 Finance BBA 6 - N4 MBA1-2 PGDb BBA 7 - G6 Entrepreneurship MBA 2 a BBA 1 - SC - Concierge GB 5/7 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 J. Cunningham D. Adams V. Aiosi A. Andrioli S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi P. Hodgson G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan R. Puhr G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom E. Varini M. Varini E. Wong BBA 7 - G1 Finance BBA 7 - G3 Marketing BBA 7 - G5 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 7 GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGDa BBA 1 - SA1 BBA 1 - SC - Rooms Division BBA 1 - SA2
