Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[B. Hassan] Leading Multi National Teams,07.05.2020,14:50,07.05.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),11.05.2020,09:05,11.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),11.05.2020,14:50,11.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),12.05.2020,09:05,12.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,12.05.2020,13:55,12.05.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,12.05.2020,16:00,12.05.2020,17:45
[B. Hassan] Consultancy Project,14.05.2020,09:05,14.05.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,14.05.2020,11:10,14.05.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,14.05.2020,14:50,14.05.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),18.05.2020,09:05,18.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),18.05.2020,14:50,18.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
