Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Marketing] Hospitality Electives (5209),23.03.2020,14:50,23.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),24.03.2020,09:05,24.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,24.03.2020,12:05,24.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,24.03.2020,13:00,24.03.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] General Education,25.03.2020,08:10,25.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,25.03.2020,11:10,25.03.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,25.03.2020,13:00,25.03.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,25.03.2020,13:55,25.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,25.03.2020,14:50,25.03.2020,16:50,BBA 7 - G2 Marketing S. Dahl
[BBA 7 - G2 Marketing] General Education,26.03.2020,08:10,26.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
